platform,social_id,username,fullname,avatar_url,is_verified,subscribers_count,engagement_avg,authentic_engagement,audience_geo_country_1_code,audience_geo_country_1_prc,blogger_thematics,video_views_avg,likes_avg,comments_avg,shares_avg,description,tier,hs_value,aqs,additional_countries
Instagram,16303346,camilacoelho,CAMILA COELHO,https://cdn.hypeauditor.com/img/instagram/user/16303346.jpg?w=150&till=1722470340&sign=b3f4a3d3ee63d203855af3fd0e23e350,True,10053885,106260.0,73951.0,br,35.26,['Shows'],,,,,,,,,
Instagram,285932922,camilaloures,Camila Loures,https://cdn.hypeauditor.com/img/instagram/user/285932922.jpg?w=150&till=1722470340&sign=0000c68be2342a73e3d4ea5e4bb13c76,True,19524782,163909.0,109549.0,br,81.28,['Shows'],,,,,,,,,
Instagram,4159720905,camilamoura225,Camila Moura,https://cdn.hypeauditor.com/img/instagram/user/4159720905.jpg?w=150&till=1722470340&sign=f975a90939c401f3281965f31c6531fc,True,3023281,188955.0,140270.0,br,77.76,,,,,,,,,,
Instagram,361051176,camilapudim,Camila Pudim 🍮💜,https://cdn.hypeauditor.com/img/instagram/user/361051176.jpg?w=150&till=1722470340&sign=2c156403bbc7d875edaf1bf903aff945,True,5612293,241177.0,178028.0,br,79.73,['Humor & Fun & Happiness'],,,,,,,,,
Instagram,9698698,camilaqueiroz,Camila Queiroz,https://cdn.hypeauditor.com/img/instagram/user/9698698.jpg?w=150&till=1722470340&sign=1d1a7de1937c94ea398371cfac242eda,True,21190108,31781.0,21233.0,br,71.0,"['Cinema & Actors/actresses', 'Fashion']",,,,,,,,,
Instagram,19596899,camila_cabello,camila,https://cdn.hypeauditor.com/img/instagram/user/19596899.jpg?w=150&till=1722470340&sign=faf930b7f1931ddc725c988ee5b52de2,True,65412434,469302.0,335613.0,us,17.27,['Music'],,,,,,,,,
Instagram,284478809,camilladelucas,Camilla de Lucas,https://cdn.hypeauditor.com/img/instagram/user/284478809.jpg?w=150&till=1722470340&sign=54aea367f423b829199729614bb82bec,True,9293569,115883.0,66112.0,br,86.43,['Lifestyle'],,,,,,,,,
Instagram,41217567,camilo,C A M I L O,https://cdn.hypeauditor.com/img/instagram/user/41217567.jpg?w=150&till=1722470340&sign=b12daa835b806a8dd90d61a23ce0795c,True,28322589,76748.0,51137.0,br,11.44,['Music'],,,,,,,,,
Instagram,3248600900,camimendes,camila mendes,https://cdn.hypeauditor.com/img/instagram/user/3248600900.jpg?w=150&till=1722470340&sign=f3f57d8d6161ea0727ff77211c0b0701,True,24971367,281107.0,212263.0,br,23.69,['Cinema & Actors/actresses'],,,,,,,,,
Instagram,14222884,candiceking,Candice King,https://cdn.hypeauditor.com/img/instagram/user/14222884.jpg?w=150&till=1722470340&sign=111108e1e4698b32b7fa8fa5807f660b,True,11128041,123382.0,97425.0,us,21.92,"['Family', 'Lifestyle']",,,,,,,,,
Instagram,43114731,candiceswanepoel,𝗖𝗮𝗻𝗱𝗶𝗰𝗲,https://cdn.hypeauditor.com/img/instagram/user/43114731.jpg?w=150&till=1722470340&sign=e21ae4826a28f675e2bd03b08de77fe6,True,20265937,163719.0,115501.0,us,18.27,"['Modeling', 'Fashion']",,,,,,,,,
Instagram,8147665,canyaman,Can Yaman,https://cdn.hypeauditor.com/img/instagram/user/8147665.jpg?w=150&till=1722470340&sign=8ff9cf9b459fd672875231b5d7857261,True,10816190,154202.0,125199.0,it,24.25,"['Cinema & Actors/actresses', 'Modeling']",,,,,,,,,
Instagram,3255807,caradelevingne,Cara Delevingne,https://cdn.hypeauditor.com/img/instagram/user/3255807.jpg?w=150&till=1722470340&sign=a91d2c46ef193b12e73e07e4a222bfe9,True,41701472,129961.0,75244.0,us,17.4,"['Modeling', 'Cinema & Actors/actresses']",,,,,,,,,
Instagram,26190537,carladiaz,Carla Diaz,https://cdn.hypeauditor.com/img/instagram/user/26190537.jpg?w=150&till=1722470340&sign=4d0aeb2a48addefcdca36e4319648b8e,True,9627153,60922.0,36059.0,br,79.8,['Cinema & Actors/actresses'],,,,,,,,,
Instagram,406936928,carlinhos,,https://cdn.hypeauditor.com/img/instagram/user/406936928.jpg?w=150&till=1722470340&sign=e518104f7f2b11f2feffb3b030c1bbb0,True,31011964,982627.0,640270.0,br,83.1,['Lifestyle'],,,,,,,,,
Instagram,3268978947,carolinederpienski,CAROLINE MARIA DERPIENSKI,https://cdn.hypeauditor.com/img/instagram/user/3268978947.jpg?w=150&till=1722470340&sign=342f93bf49f870a99eb6646a2806f46a,True,9835271,155516.0,42557.0,us,14.21,['Modeling'],,,,,,,,,
